Comment,Designator,Footprint,LCSC
"1N4934","D5","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"Conn_01x01_Female","J1,J2,J3","Connector_Wire:SolderWire-0.25sqmm_1x01_D0.65mm_OD2mm_Relief",""
"120Ω","R1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"68Ω","R10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"2.7kΩ","R2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"1.3kΩ","R3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"270Ω","R4","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"1.5kΩ","R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"1.2kΩ","R7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"330Ω","R8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"180Ω","R9","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"39Ω","Ra2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"47Ω","Ra7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"Switch_SPDT","S1,S2,S3,S4,S5,S6,S7,S8,S9,S10","_sauttefk:miniatureToggleSwitch_12.7x6.6",""
